time_original,well,OD,isolate,well,hh,mm,ss,time_h
0:00:00,A1,0.1931,ATD 4B4,A1,0,0,0,0
0:15:00,A1,0.1865,ATD 4B4,A1,0,15,0,0.25
0:30:00,A1,0.1885,ATD 4B4,A1,0,30,0,0.5
0:45:00,A1,0.19,ATD 4B4,A1,0,45,0,0.75
1:00:00,A1,0.1925,ATD 4B4,A1,1,0,0,1
1:15:00,A1,0.1936,ATD 4B4,A1,1,15,0,1.25
1:30:00,A1,0.1954,ATD 4B4,A1,1,30,0,1.5
1:45:00,A1,0.1972,ATD 4B4,A1,1,45,0,1.75
2:00:00,A1,0.1991,ATD 4B4,A1,2,0,0,2
2:15:00,A1,0.2014,ATD 4B4,A1,2,15,0,2.25
2:30:00,A1,0.2075,ATD 4B4,A1,2,30,0,2.5
2:45:00,A1,0.2062,ATD 4B4,A1,2,45,0,2.75
3:00:00,A1,0.2087,ATD 4B4,A1,3,0,0,3
3:15:00,A1,0.2115,ATD 4B4,A1,3,15,0,3.25
3:30:00,A1,0.2132,ATD 4B4,A1,3,30,0,3.5
3:45:00,A1,0.2153,ATD 4B4,A1,3,45,0,3.75
4:00:00,A1,0.2178,ATD 4B4,A1,4,0,0,4
4:15:00,A1,0.2211,ATD 4B4,A1,4,15,0,4.25
4:30:00,A1,0.2235,ATD 4B4,A1,4,30,0,4.5
4:45:00,A1,0.2262,ATD 4B4,A1,4,45,0,4.75
5:00:00,A1,0.2278,ATD 4B4,A1,5,0,0,5
5:15:00,A1,0.23,ATD 4B4,A1,5,15,0,5.25
5:30:00,A1,0.2318,ATD 4B4,A1,5,30,0,5.5
5:45:00,A1,0.2343,ATD 4B4,A1,5,45,0,5.75
6:00:00,A1,0.2359,ATD 4B4,A1,6,0,0,6
6:15:00,A1,0.2372,ATD 4B4,A1,6,15,0,6.25
6:30:00,A1,0.2396,ATD 4B4,A1,6,30,0,6.5
6:45:00,A1,0.2414,ATD 4B4,A1,6,45,0,6.75
7:00:00,A1,0.2429,ATD 4B4,A1,7,0,0,7
7:15:00,A1,0.2455,ATD 4B4,A1,7,15,0,7.25
7:30:00,A1,0.2483,ATD 4B4,A1,7,30,0,7.5
7:45:00,A1,0.2499,ATD 4B4,A1,7,45,0,7.75
8:00:00,A1,0.2528,ATD 4B4,A1,8,0,0,8
8:15:00,A1,0.2559,ATD 4B4,A1,8,15,0,8.25
8:30:00,A1,0.2578,ATD 4B4,A1,8,30,0,8.5
8:45:00,A1,0.2602,ATD 4B4,A1,8,45,0,8.75
9:00:00,A1,0.2631,ATD 4B4,A1,9,0,0,9
9:15:00,A1,0.2661,ATD 4B4,A1,9,15,0,9.25
9:30:00,A1,0.2683,ATD 4B4,A1,9,30,0,9.5
9:45:00,A1,0.2699,ATD 4B4,A1,9,45,0,9.75
10:00:00,A1,0.272,ATD 4B4,A1,10,0,0,10
10:15:00,A1,0.2756,ATD 4B4,A1,10,15,0,10.25
10:30:00,A1,0.2769,ATD 4B4,A1,10,30,0,10.5
10:45:00,A1,0.2798,ATD 4B4,A1,10,45,0,10.75
11:00:00,A1,0.2805,ATD 4B4,A1,11,0,0,11
11:15:00,A1,0.2837,ATD 4B4,A1,11,15,0,11.25
11:30:00,A1,0.2846,ATD 4B4,A1,11,30,0,11.5
11:45:00,A1,0.2862,ATD 4B4,A1,11,45,0,11.75
12:00:00,A1,0.2874,ATD 4B4,A1,12,0,0,12
12:15:00,A1,0.2894,ATD 4B4,A1,12,15,0,12.25
12:30:00,A1,0.2898,ATD 4B4,A1,12,30,0,12.5
12:45:00,A1,0.2909,ATD 4B4,A1,12,45,0,12.75
13:00:00,A1,0.2933,ATD 4B4,A1,1,0,0,1
13:15:00,A1,0.2941,ATD 4B4,A1,1,15,0,1.25
13:30:00,A1,0.2952,ATD 4B4,A1,1,30,0,1.5
13:45:00,A1,0.2965,ATD 4B4,A1,1,45,0,1.75
14:00:00,A1,0.2981,ATD 4B4,A1,2,0,0,2
14:15:00,A1,0.2984,ATD 4B4,A1,2,15,0,2.25
14:30:00,A1,0.3008,ATD 4B4,A1,2,30,0,2.5
14:45:00,A1,0.3003,ATD 4B4,A1,2,45,0,2.75
15:00:00,A1,0.3015,ATD 4B4,A1,3,0,0,3
15:15:00,A1,0.3025,ATD 4B4,A1,3,15,0,3.25
15:30:00,A1,0.3023,ATD 4B4,A1,3,30,0,3.5
15:45:00,A1,0.301,ATD 4B4,A1,3,45,0,3.75
16:00:00,A1,0.3011,ATD 4B4,A1,4,0,0,4
16:15:00,A1,0.3009,ATD 4B4,A1,4,15,0,4.25
16:30:00,A1,0.3004,ATD 4B4,A1,4,30,0,4.5
16:45:00,A1,0.3007,ATD 4B4,A1,4,45,0,4.75
17:00:00,A1,0.3021,ATD 4B4,A1,5,0,0,5
17:15:00,A1,0.3014,ATD 4B4,A1,5,15,0,5.25
17:30:00,A1,0.3026,ATD 4B4,A1,5,30,0,5.5
17:45:00,A1,0.3019,ATD 4B4,A1,5,45,0,5.75
18:00:00,A1,0.3016,ATD 4B4,A1,6,0,0,6
18:15:00,A1,0.3027,ATD 4B4,A1,6,15,0,6.25
18:30:00,A1,0.3026,ATD 4B4,A1,6,30,0,6.5
18:45:00,A1,0.3025,ATD 4B4,A1,6,45,0,6.75
19:00:00,A1,0.3019,ATD 4B4,A1,7,0,0,7
19:15:00,A1,0.3027,ATD 4B4,A1,7,15,0,7.25
19:30:00,A1,0.3035,ATD 4B4,A1,7,30,0,7.5
19:45:00,A1,0.3038,ATD 4B4,A1,7,45,0,7.75
20:00:00,A1,0.3037,ATD 4B4,A1,8,0,0,8
20:15:00,A1,0.3044,ATD 4B4,A1,8,15,0,8.25
20:30:00,A1,0.3041,ATD 4B4,A1,8,30,0,8.5
20:45:00,A1,0.305,ATD 4B4,A1,8,45,0,8.75
21:00:00,A1,0.3059,ATD 4B4,A1,9,0,0,9
21:15:00,A1,0.3056,ATD 4B4,A1,9,15,0,9.25
21:30:00,A1,0.3061,ATD 4B4,A1,9,30,0,9.5
21:45:00,A1,0.3067,ATD 4B4,A1,9,45,0,9.75
22:00:00,A1,0.3066,ATD 4B4,A1,10,0,0,10
22:15:00,A1,0.3075,ATD 4B4,A1,10,15,0,10.25
22:30:00,A1,0.3075,ATD 4B4,A1,10,30,0,10.5
22:45:00,A1,0.309,ATD 4B4,A1,10,45,0,10.75
23:00:00,A1,0.3079,ATD 4B4,A1,11,0,0,11
23:15:00,A1,0.3082,ATD 4B4,A1,11,15,0,11.25
23:30:00,A1,0.309,ATD 4B4,A1,11,30,0,11.5
23:45:00,A1,0.3105,ATD 4B4,A1,11,45,0,11.75
1.00:00:00,A1,0.3099,ATD 4B4,A1,1,0,0,1
1.00:15:00,A1,0.3101,ATD 4B4,A1,1,15,0,1.25
1.00:30:00,A1,0.3097,ATD 4B4,A1,1,30,0,1.5
1.00:45:00,A1,0.31,ATD 4B4,A1,1,45,0,1.75
1.01:00:00,A1,0.3115,ATD 4B4,A1,1.01,0,0,1.01
1.01:15:00,A1,0.3111,ATD 4B4,A1,1.01,15,0,1.26
1.01:30:00,A1,0.3123,ATD 4B4,A1,1.01,30,0,1.51
1.01:45:00,A1,0.3128,ATD 4B4,A1,1.01,45,0,1.76
1.02:00:00,A1,0.3139,ATD 4B4,A1,1.02,0,0,1.02
1.02:15:00,A1,0.3142,ATD 4B4,A1,1.02,15,0,1.27
