RichLevel	DateStart	Rep	Inhibitory	BacterialCopyNumber_mean	BacterialCopyNumber_sd	JarID	BdCopyNumber_mean	BdCopyNumber_sd	CV
0	2020-08-31	Rep1	Con	3.921260034	0.003302437	7	3.280634961	0.135133495	0.051611111
1	2020-08-31	Rep1	Inhib	6.134949018	0.028634532	23	2.425839165	0.201437324	0.087944444
3	2020-08-31	Rep1	Inhib	7.249298986	0.105586219	4	4.27069456	0.022881079	0.430611111
10	2020-08-31	Rep1	Inhib	7.413062909	0.12764894	22	3.915949988	0.004322524	0.726611111
1	2020-08-31	Rep1	Non	4.792660512	0.00810287	21	4.665981927	0.184893322	0.031611111
3	2020-08-31	Rep1	Non	5.74909804	0.083355608	16	4.821690609	0.057889613	0.034611111
10	2020-08-31	Rep1	Non	7.586899749	0.056235296	26	4.358310148	0.028167987	0.028944444
0	2020-09-28	Rep10	Con	3.913945102	0.295712906	23	4.761176344	0.109578209	0.033944444
1	2020-09-28	Rep10	Inhib	7.622245846	0.135381269	16	3.690727983	0.088099883	0.535611111
3	2020-09-28	Rep10	Inhib	6.960979278	0.058318085	25	3.675961117	0.096871442	0.564277778
10	2020-09-28	Rep10	Inhib	7.37629592	0.012496733	3	3.130143099	0.045162546	0.369277778
1	2020-09-28	Rep10	Non	3.009685504	0.011079806	1	5.006079011	0.632350707	0.008944444
3	2020-09-28	Rep10	Non	8.236384285	0.13329848	27	2.210007009	0.171572989	1.024611111
10	2020-09-28	Rep10	Non	7.490255924	0.067576993	6	2.523337407	0.055479359	0.892611111
0	2020-10-05	Rep11	Con	3.112653209	0.083054939	2	3.153282595	0.145669732	0.003611111
1	2020-10-05	Rep11	Inhib	6.739557223	0.188169597	8	2.779649134	0.197664139	1.089944444
3	2020-10-05	Rep11	Inhib	6.799584071	0.029694965	11	1.716112248	0.268477004	1.058277778
10	2020-10-05	Rep11	Inhib	7.117598086	0.173192054	26	2.637682921	0.049707216	0.257277778
1	2020-10-05	Rep11	Non	5.010075579	0.130216818	21	5.106851458	0.192876982	0.017944444
3	2020-10-05	Rep11	Non	7.116724385	0.010776116	25	3.432124648	0.091217218	0.039944444
10	2020-10-05	Rep11	Non	7.704870267	0.064099408	24	2.128273459	0.007562267	0.891611111
0	2020-10-05	Rep12	Con	2.328008146	0.511723698	12	5.41447223	0.068708723	0.019944444
1	2020-10-05	Rep12	Inhib	3.938887967	0.058318085	5	1.866596932	0.521667629	0.023944444
3	2020-10-05	Rep12	Inhib	4.438571645	0.170293731	19	3.948673661	0.424052369	0.030611111
10	2020-10-05	Rep12	Inhib	7.180419631	0.027076254	3	0.448053952	1.93511782	0.974944444
1	2020-10-05	Rep12	Non	3.671978525	0.178541355	14	2.485329033	0.141529833	0.035277778
3	2020-10-05	Rep12	Non	4.768463366	0.046414091	20	4.63294756	0.124249764	0.002944444
10	2020-10-05	Rep12	Non	7.241940369	0.194945046	23	1.726181669	0.084678295	1.146611111
0	2020-08-31	Rep2	Con	3.312846348	0.227066985	19	3.986839711	0.132836932	0.006944444
1	2020-08-31	Rep2	Inhib	5.60479863	0.056242438	6	3.883229355	0.115503823	0.283611111
3	2020-08-31	Rep2	Inhib	6.535548838	0.047155079	25	2.980886837	0.054377056	0.474944444
10	2020-08-31	Rep2	Inhib	7.350514407	0.025280136	18	2.699080782	0.121851218	1.276611111
1	2020-08-31	Rep2	Non	6.135364026	0.105782103	2	4.822433404	0.070253977	0.029944444
3	2020-08-31	Rep2	Non	7.122117176	0.054128479	11	4.6364288	0.252106379	0.449611111
10	2020-08-31	Rep2	Non	7.711324128	0.718693356	3	4.161750496	0.275227962	0.285277778
0	2020-09-07	Rep3	Con	4.063960057	0.105827175	20	4.046404509	0.239356845	0.015277778
1	2020-09-07	Rep3	Inhib	6.535636208	0.063396673	1	4.322518164	0.004070516	1.587944444
3	2020-09-07	Rep3	Inhib	6.614717445	0.179362315	18	3.441761585	0.032564128	1.127944444
10	2020-09-07	Rep3	Inhib	7.534021914	0.197973093	12	2.117748427	0.118044964	0.877611111
1	2020-09-07	Rep3	Non	6.137426988	0.04442175	6	3.387651637	0.117020436	0.016277778
3	2020-09-07	Rep3	Non	7.175637265	0.021560356	25	3.121335849	0.219110455	0.063277778
10	2020-09-07	Rep3	Non	7.1476904	0.163365402	19	3.102123427	0.069198772	0.131944444
0	2020-09-07	Rep4	Con	2.198535182	0.029957221	5	3.96273198	0.085480836	0.023944444
1	2020-09-07	Rep4	Inhib	5.50436954	0.220798261	11	2.999302316	0.088893351	0.023277778
3	2020-09-07	Rep4	Inhib	5.686151489	0.123280013	3	4.121367897	0.036232466	0.138277778
10	2020-09-07	Rep4	Inhib	6.721429986	0.08889062	17	1.197139044	0.340906206	0.451944444
1	2020-09-07	Rep4	Non	6.625585513	0.026989258	9	3.265727294	0.152178805	0.057944444
3	2020-09-07	Rep4	Non	7.146358007	0.084318903	8	2.932226442	0.264388937	0.037611111
10	2020-09-07	Rep4	Non	6.890324589	0.180457275	2	2.539417835	0.144503318	0.374611111
0	2020-09-14	Rep5	Con	4.382744933	0.9177831	12	3.490245293	0.101125157	0
1	2020-09-14	Rep5	Inhib	6.60899106	0.185368199	18	3.422254211	0.198377745	0.039611111
3	2020-09-14	Rep5	Inhib	6.46313214	0.194571928	1	3.208490244	0.079706269	0.455944444
10	2020-09-14	Rep5	Inhib	6.923021045	0.026962835	17	2.45057848	0.122040191	1.121611111
1	2020-09-14	Rep5	Non	6.172933935	0.115092598	8	3.244884445	0.512763034	0.015277778
3	2020-09-14	Rep5	Non	5.35972065	0.01623384	14	4.344740092	0.033387343	0.028277778
10	2020-09-14	Rep5	Non	7.592790765	0.018745099	4	3.457485351	0.050559165	0.009944444
0	2020-09-14	Rep6	Con	4.000467443	0.044241619	22	4.508590808	0.130549564	0.022611111
1	2020-09-14	Rep6	Inhib	3.800143249	0.163891274	23	1.929589572	0.07155346	0.023611111
3	2020-09-14	Rep6	Inhib	6.432564174	0.15087084	19	2.634187326	0.359674222	0.198944444
10	2020-09-14	Rep6	Inhib	7.700301811	0.141629635	7	2.072833075	0.958672899	0.359944444
1	2020-09-14	Rep6	Non	6.686845307	0.11362369	27	3.711223868	0.172159128	0.021277778
3	2020-09-14	Rep6	Non	6.854812759	0.156154226	20	NA	NA	0.177944444
10	2020-09-14	Rep6	Non	7.023117615	0.045043188	16	2.567465592	0.211087659	0.219277778
0	2020-09-19	Rep7	Con	4.170092615	0.445213195	17	3.905766337	0.078713678	0.022611111
1	2020-09-19	Rep7	Inhib	6.110266454	0.24355764	15	3.790767824	0.136375961	0.022277778
3	2020-09-19	Rep7	Inhib	6.954931171	0.088208602	13	2.547020713	0.038135364	0.223944444
10	2020-09-19	Rep7	Inhib	7.380737776	0.010744397	19	2.133208677	0.046017997	0.954611111
1	2020-09-19	Rep7	Non	6.729448761	0.067511945	27	2.51209057	0.142592876	0.024944444
3	2020-09-19	Rep7	Non	7.342163111	0.023351975	22	2.20667161	0.061911594	0.061944444
10	2020-09-19	Rep7	Non	5.81837905	0.020153414	23	3.609819845	0.225434058	0
0	2020-09-19	Rep8	Con	4.153821991	0.000800349	11	4.860754992	0.205993225	0.015944444
1	2020-09-19	Rep8	Inhib	6.794540761	0.159565935	3	1.421588121	0.030960891	0.968611111
3	2020-09-19	Rep8	Inhib	7.766575743	0.156209156	16	2.64316195	0.113978134	0.667277778
10	2020-09-19	Rep8	Inhib	7.187056278	0.009502721	24	2.668874656	0.00711387	0.879277778
1	2020-09-19	Rep8	Non	7.08490163	0.034228057	6	2.990616472	0.169811334	0.046277778
3	2020-09-19	Rep8	Non	7.356169307	0.04145995	1	2.562069181	0.012816301	0.119611111
10	2020-09-19	Rep8	Non	6.770540197	0.234420742	2	3.075306847	0.175197804	0.148611111
0	2020-09-28	Rep9	Con	2.568671365	0.070636797	15	4.914773019	0.323698596	0.018611111
1	2020-09-28	Rep9	Inhib	6.754546333	0.070263592	14	3.084152887	0.170762244	0.341944444
3	2020-09-28	Rep9	Inhib	7.536826111	0.006248366	7	3.122615276	0.11375871	0.657277778
10	2020-09-28	Rep9	Inhib	7.383565226	0.018834304	13	2.012519933	0.180361826	0.649277778
1	2020-09-28	Rep9	Non	6.726833382	0.104108327	12	4.364531971	0.09204066	0.014944444
3	2020-09-28	Rep9	Non	7.387113479	0.107068938	26	3.360550313	0.163422124	1.062277778
10	2020-09-28	Rep9	Non	8.145073534	0.162457523	20	2.975722027	0.500772972	1.260611111
