Rep	JarID	Bd_density	Bd_sd	pinpricks_present	clouds_present
Rep1	4	0.400372915340807	1.55063763338746	TRUE	FALSE
Rep1	7	67.5629294637612	67.126264473148	TRUE	FALSE
Rep1	16	1922.67971122552	1164.5057075923	FALSE	FALSE
Rep1	21	1681.56624443139	1404.29860118009	TRUE	TRUE
Rep1	22	90.4592555598135	157.027902214312	TRUE	FALSE
Rep1	23	3.00279686505605	11.2354370711186	FALSE	FALSE
Rep1	26	17.2660819740723	48.8358545935573	TRUE	TRUE
Rep10	1	2461.16738052157	1314.84968085812	FALSE	TRUE
Rep10	3	0	0	FALSE	FALSE
Rep10	6	0	0	FALSE	FALSE
Rep10	16	0	0	FALSE	FALSE
Rep10	23	1134.05628270284	718.524386574095	TRUE	FALSE
Rep10	25	0	0	FALSE	FALSE
Rep10	27	0	0	FALSE	FALSE
Rep11	2	1120.04323066591	942.573423922688	TRUE	FALSE
Rep11	8	0	0	FALSE	FALSE
Rep11	11	0	0	FALSE	FALSE
Rep11	21	307.48639898174	548.725754914967	TRUE	FALSE
Rep11	24	0	0	FALSE	FALSE
Rep11	25	123.314857924968	264.20582377787	TRUE	FALSE
Rep11	26	6.40596664545291	14.9652886454455	TRUE	FALSE
Rep12	3	0	0	FALSE	FALSE
Rep12	5	0	0	FALSE	FALSE
Rep12	12	235.344204298768	465.621231753151	FALSE	FALSE
Rep12	14	0	0	FALSE	FALSE
Rep12	19	25.6238665818116	99.2408085367972	FALSE	FALSE
Rep12	20	2.00186457670403	7.75318816693728	FALSE	FALSE
Rep12	23	0	0	FALSE	FALSE
Rep2	2	786.332405729344	884.317643954688	TRUE	TRUE
Rep2	3	0	0	TRUE	TRUE
Rep2	6	0	0	FALSE	FALSE
Rep2	11	0.353270219418359	1.45657042904702	TRUE	FALSE
Rep2	18	0	0	FALSE	FALSE
Rep2	19	1016.50234617083	1430.6496953848	FALSE	FALSE
Rep2	25	2.80261040738565	6.759072741987	FALSE	FALSE
Rep3	1	102.470443020038	111.289312641206	FALSE	FALSE
Rep3	6	26.0242394971524	36.5775852283329	TRUE	FALSE
Rep3	12	40.6260752331113	55.5934981267805	FALSE	FALSE
Rep3	18	82.9522633971734	82.4093150354794	FALSE	FALSE
Rep3	19	71.6667518460044	81.0347263732131	FALSE	TRUE
Rep3	20	166.154759866435	111.031965825214	FALSE	FALSE
Rep3	25	74.4693622533901	78.7233631126268	TRUE	FALSE
Rep4	2	314.864699850163	372.724497378881	FALSE	TRUE
Rep4	3	103.971841452566	82.160934113638	FALSE	FALSE
Rep4	5	608.166458402685	527.704239036627	TRUE	FALSE
Rep4	8	93.6872621897488	79.2127178092587	TRUE	TRUE
Rep4	9	83.3276130053054	73.2871111129748	TRUE	TRUE
Rep4	11	5.63024412198009	18.2776375093688	FALSE	FALSE
Rep4	17	269.050599109022	807.881356631032	FALSE	TRUE
Rep5	1	12.0111874602242	43.3069522670484	FALSE	TRUE
Rep5	4	2.57382588433376	9.63037463238738	FALSE	FALSE
Rep5	8	228.67453049273	274.702158798079	FALSE	TRUE
Rep5	12	14.1560423638357	23.8609685579172	FALSE	FALSE
Rep5	14	78.8560568040806	136.94027975632	FALSE	FALSE
Rep5	17	0	0	FALSE	FALSE
Rep5	18	96.4898725971344	77.1254353287378	FALSE	FALSE
Rep6	7	0	0	FALSE	FALSE
Rep6	16	0	0	FALSE	FALSE
Rep6	19	0	0	FALSE	FALSE
Rep6	20	0	0	FALSE	FALSE
Rep6	22	244.513459011707	395.790803296765	FALSE	TRUE
Rep6	23	0	0	FALSE	FALSE
Rep6	27	0	0	FALSE	FALSE
Rep7	13	0	0	FALSE	FALSE
Rep7	15	12.5831487678539	35.9787076687367	TRUE	FALSE
Rep7	17	221.456268797884	336.040563027516	TRUE	TRUE
Rep7	19	0	0	FALSE	FALSE
Rep7	22	0	0	TRUE	FALSE
Rep7	23	0	0	FALSE	FALSE
Rep7	27	0	0	FALSE	FALSE
Rep8	1	0	0	FALSE	FALSE
Rep8	2	4.00372915340807	12.5701429258588	FALSE	FALSE
Rep8	3	0	0	FALSE	FALSE
Rep8	6	2.40223749204484	6.7336147504275	TRUE	FALSE
Rep8	11	454.212536324794	687.9171340357	FALSE	FALSE
Rep8	16	0	0	FALSE	FALSE
Rep8	24	1.12604882439602	4.50419529758408	FALSE	FALSE
Rep9	7	0	0	FALSE	FALSE
Rep9	12	221.406222183466	359.031097167646	TRUE	FALSE
Rep9	13	0	0	FALSE	FALSE
Rep9	14	0	0	FALSE	FALSE
Rep9	15	498.019420804481	934.48856300457	TRUE	TRUE
Rep9	20	0	0	FALSE	FALSE
Rep9	26	0	0	FALSE	FALSE
